지점,지점명,일시,Aerosol,Temp_avg,Temp_min,Temp_max,Humidity,sunshine time,Total daylight hours,cloud cover,cumulative UV,Maximum UV
129,서산,2020-07-18,106.1,23.6,19,29.1,78.5,14.4,5.3,7.4,0.879,0.141
129,서산,2020-07-19,126.7,25.5,20.8,28.6,82.5,14.4,0,9.3,0.591,0.131
129,서산,2020-07-20,30.4,22.9,21.7,26.6,90.9,14.3,0.4,8.9,0.702,0.19
129,서산,2020-07-21,190.8,23.8,21.1,29.5,78.3,14.3,6.2,7.1,1.288,0.206
129,서산,2020-07-22,179.5,22.3,20.6,26.2,87.9,14.3,0.2,10,0.637,0.128
129,서산,2020-07-23,79.9,21,20.3,22.1,94.6,14.3,0,9.4,0.12,0.034
129,서산,2020-07-24,4.2,21.7,18.8,24.3,81.4,14.2,1.6,9,0.91,0.234
129,서산,2020-07-25,6.5,24.5,21.1,29.6,69.3,14.2,6.9,6.9,1.131,0.213
129,서산,2020-07-26,21.7,23.5,20.7,26.5,80,14.2,3,7.6,0.887,0.221
129,서산,2020-07-27,39.3,23.8,21.3,27,86.9,14.2,0,10,0.666,0.115
129,서산,2020-08-03,222.3,25,23.4,25.8,92.6,14,0,9.4,0.215,0.04
129,서산,2020-08-04,299.7,26.8,25.2,30.9,84.9,13.9,2.3,8.8,0.927,0.193
129,서산,2020-08-06,42.7,24,22.2,26.9,90.9,13.9,1.7,9.6,0.42,0.124
129,서산,2020-08-07,39,23,21.7,24.4,89.9,13.8,0,9.3,0.325,0.082
129,서산,2020-08-08,27.5,24.2,22.7,25.5,93.9,13.8,0,8.6,0.25,0.056
129,서산,2020-08-09,20.6,25.1,24.4,26.2,91.5,13.8,0,9.7,0.271,0.077
129,서산,2020-08-10,9.7,26.8,24.4,30.4,87.3,13.7,2.2,8.6,0.744,0.192
129,서산,2020-08-11,44.9,24.4,23.1,26.9,91.8,13.7,0.6,8,0.449,0.143
129,서산,2020-08-12,31.7,25.9,23.5,29,94.1,13.7,0.4,7.3,0.637,0.213
129,서산,2020-08-13,33.2,27.2,25.4,29.8,85.9,13.6,5.9,6.5,1.124,0.208
129,서산,2020-08-14,47.7,26.4,25.5,28.2,89,13.6,0.1,7.3,0.877,0.194
129,서산,2020-08-15,39.9,26,24.8,27.6,90.8,13.6,0,7.9,0.891,0.198
129,서산,2020-08-16,95.7,26.9,24.6,30.5,87.1,13.5,6,6.3,1.245,0.228
129,서산,2020-08-17,96.6,27.4,23.5,31.9,82.6,13.5,9.8,3.9,1.182,0.234
129,서산,2020-08-18,108.1,27,23.6,32.4,80.8,13.5,9.5,3.4,1.354,0.222
129,서산,2020-08-21,208,26.7,22.6,31.6,84.3,13.4,8.8,7.3,1.216,0.194
129,서산,2020-08-22,195.8,26.1,22.8,30.4,84.5,13.3,2.6,7.4,0.667,0.113
129,서산,2020-08-23,108.2,25.3,21.1,31.2,78.5,13.3,7.9,4.5,1.305,0.213
129,서산,2020-08-24,156.2,26.9,21.1,31.7,76.8,13.3,11.7,4.3,1.297,0.21
129,서산,2020-08-25,205.4,29.3,23.3,34.9,68.6,13.2,11.8,5.9,1.318,0.216
129,서산,2020-08-28,47.2,27.5,25.1,31.8,86.1,13.1,7.9,7.1,1.01,0.197
129,서산,2020-08-29,18.2,25.7,24.1,30,91.5,13.1,1,6.3,0.596,0.138
129,서산,2020-08-30,18.2,26.1,23.6,31.5,88,13,3.2,6.4,1.008,0.198
129,서산,2020-09-01,29.4,25.5,22.8,30.5,82.9,13,2.1,6.3,0.858,0.203
129,서산,2020-09-09,66.9,21.7,19.6,25.8,83.8,12.7,6.2,6,0.94,0.187
129,서산,2020-09-10,125.2,22.1,18.1,27,85,12.6,9.4,5.4,0.95,0.204
129,서산,2020-09-11,209.4,21.4,18.4,24.9,86,12.6,0,9.1,0.388,0.086
129,서산,2020-09-12,36.9,19.1,17.4,20.8,92,12.5,0,7.4,0.386,0.097
129,서산,2020-09-13,10.2,20.6,16.6,26.4,74.8,12.5,11.7,2.9,1.161,0.202
129,서산,2020-09-14,13.8,20.5,15.1,26.1,83.5,12.5,9.6,3.9,1.06,0.204
129,서산,2020-09-15,87.2,21.6,16.5,27.8,81.6,12.4,9.3,7.1,1.027,0.196
129,서산,2020-09-16,39.3,20.4,19.3,23.9,92.1,12.4,0.3,5,0.408,0.086
129,서산,2020-09-17,14.3,20,17,23.5,85.8,12.4,0.3,9.4,0.451,0.101
129,서산,2020-09-18,5.9,20.2,16.2,25.6,75.6,12.3,11,2.8,1.036,0.198
129,서산,2020-09-19,10.5,19.3,14.6,26.3,80.9,12.3,9.9,2,0.878,0.148
129,서산,2020-09-20,14.9,18.1,12.4,25.2,73.5,12.2,11.4,0,1.018,0.16
129,서산,2020-09-21,45.9,17.7,11.1,25.3,68.1,12.2,10.3,5,0.964,0.175
129,서산,2020-09-22,37.2,19,15,24.9,66.5,12.2,9.5,4.8,0.995,0.172
129,서산,2020-09-23,12.7,18.8,14.3,23.9,64.9,12.1,5.6,8.4,0.837,0.171
129,서산,2020-09-24,12.3,20.3,15.3,25.6,62.1,12.1,9.9,6.3,0.989,0.181
129,서산,2020-09-25,13.9,19.9,14,26.3,66.6,12,9.9,4.4,0.947,0.171
129,서산,2020-09-26,14.2,19.7,15,25,61,12,10.4,3.6,0.994,0.168
129,서산,2020-09-27,15.5,19.1,14.7,25.6,69,12,11.1,0.1,1.016,0.181
129,서산,2020-09-28,55.5,18.9,13.3,26.9,78.4,11.9,10.5,1.9,0.981,0.174
129,서산,2020-09-29,73.8,18.1,13.1,24.7,78.4,11.9,5.4,6.5,0.778,0.161
129,서산,2020-09-30,48.3,17.9,13.9,25.2,85.6,11.9,5.8,3.5,0.768,0.143
129,서산,2020-10-01,49,17.8,14,22.9,80.6,11.8,8.7,6.1,0.899,0.163
129,서산,2020-10-02,54,18.7,12.4,23.2,82.5,11.8,6.6,7.3,0.794,0.147
129,서산,2020-10-03,85.7,19.2,16.9,24.1,86.5,11.7,3.2,9.1,0.525,0.134
129,서산,2020-10-04,35.4,17.3,13.2,22.9,72.6,11.7,4.4,8.6,0.61,0.137
129,서산,2020-10-05,10.4,12.7,6.3,19.3,68.3,11.7,9.3,3.6,0.788,0.169
129,서산,2020-10-06,19.8,12.8,6.6,19.6,70.9,11.6,10.3,1.6,0.9,0.165
129,서산,2020-10-07,32.1,14.9,9,21.8,58.4,11.6,6.8,7,0.793,0.153
129,서산,2020-10-08,11.1,16.6,11.5,22.8,58.9,11.5,10.5,0,0.885,0.157
129,서산,2020-10-09,11.5,16.6,10,23.1,57.4,11.5,10.5,2.9,0.865,0.156
129,서산,2020-10-10,17.2,16.3,9.9,22.3,64,11.5,8.7,5.6,0.828,0.158
129,서산,2020-10-11,33.1,15.6,10.3,21.4,77.4,11.4,3.9,6.6,0.361,0.099
129,서산,2020-10-12,21,15.2,8.8,22.8,75.4,11.4,7.9,5.3,0.612,0.138
129,서산,2020-10-13,8.3,11.4,5.4,18.3,69.4,11.3,6.3,5.5,0.618,0.143
129,서산,2020-10-14,12.2,12.4,7.1,19.6,63.3,11.3,5.3,7,0.564,0.134
129,서산,2020-10-15,5.4,10.8,5.5,18.4,55.9,11.3,6.5,7.6,0.703,0.153
129,서산,2020-10-16,21.6,11.8,6.3,16.4,65.8,11.2,0,8.4,0.352,0.059
129,서산,2020-10-17,35.8,12.1,5.8,19.9,70.6,11.2,10.3,3.3,0.745,0.121
